open,high,low,close,adj_close,volume,company
1955.0,1961.050048828125,1564.0,1564.1500244140625,1564.1500244140625,1006207,PAYTM.BO
1500.0,1518.1500244140625,1271.25,1360.300048828125,1360.300048828125,1911761,PAYTM.BO
1358.0,1525.0,1358.0,1494.949951171875,1494.949951171875,1116756,PAYTM.BO
1504.0,1790.0,1503.300048828125,1753.1500244140625,1753.1500244140625,1664157,PAYTM.BO
1768.0,1875.0,1710.8499755859375,1796.550048828125,1796.550048828125,1230370,PAYTM.BO
1777.0,1832.0,1661.0999755859375,1781.1500244140625,1781.1500244140625,412981,PAYTM.BO
1720.0,1810.0,1700.0,1734.199951171875,1734.199951171875,338638,PAYTM.BO
1734.9000244140625,1769.0999755859375,1679.550048828125,1701.300048828125,1701.300048828125,150734,PAYTM.BO
1707.0,1724.0,1629.0999755859375,1636.550048828125,1636.550048828125,125786,PAYTM.BO
1637.0,1673.449951171875,1592.3499755859375,1600.449951171875,1600.449951171875,62235,PAYTM.BO
1608.050048828125,1697.0,1599.4000244140625,1649.800048828125,1649.800048828125,78345,PAYTM.BO
1656.0,1679.0,1598.199951171875,1603.800048828125,1603.800048828125,62807,PAYTM.BO
1626.9000244140625,1635.0,1571.300048828125,1576.5999755859375,1576.5999755859375,37606,PAYTM.BO
1605.0,1609.0,1550.0,1553.800048828125,1553.800048828125,36003,PAYTM.BO
1553.800048828125,1645.0,1525.0,1594.550048828125,1594.550048828125,237625,PAYTM.BO
1599.9000244140625,1610.0,1563.0,1566.6500244140625,1566.6500244140625,100128,PAYTM.BO
1584.0,1584.0,1547.1500244140625,1554.5,1554.5,30035,PAYTM.BO
1540.0,1553.75,1490.0,1495.449951171875,1495.449951171875,59893,PAYTM.BO
1429.0,1430.0,1297.699951171875,1380.050048828125,1380.050048828125,539887,PAYTM.BO
1416.050048828125,1430.0,1390.5,1399.300048828125,1399.300048828125,228568,PAYTM.BO
1406.0999755859375,1410.4000244140625,1308.1500244140625,1321.9000244140625,1321.9000244140625,109594,PAYTM.BO
1321.0,1328.9000244140625,1290.0999755859375,1304.8499755859375,1304.8499755859375,217688,PAYTM.BO
1310.0,1349.0,1300.0,1310.300048828125,1310.300048828125,121772,PAYTM.BO
1342.6500244140625,1350.0,1331.0999755859375,1343.050048828125,1343.050048828125,50119,PAYTM.BO
1355.0,1384.800048828125,1345.0,1348.8499755859375,1348.8499755859375,130548,PAYTM.BO
1348.8499755859375,1380.0,1330.300048828125,1369.5,1369.5,120761,PAYTM.BO
1368.050048828125,1368.050048828125,1335.9000244140625,1344.75,1344.75,42812,PAYTM.BO
1349.949951171875,1364.0,1345.5,1351.9000244140625,1351.9000244140625,32777,PAYTM.BO
1359.0,1379.5,1340.0,1341.949951171875,1341.949951171875,56156,PAYTM.BO
1334.800048828125,1349.949951171875,1325.25,1327.75,1327.75,62328,PAYTM.BO
1335.0,1347.0,1330.050048828125,1335.0999755859375,1335.0999755859375,23048,PAYTM.BO
1335.0999755859375,1346.449951171875,1335.0999755859375,1339.5999755859375,1339.5999755859375,58292,PAYTM.BO
1346.199951171875,1349.0,1313.3499755859375,1318.3499755859375,1318.3499755859375,54618,PAYTM.BO
1319.0,1325.699951171875,1285.0,1288.6500244140625,1288.6500244140625,192053,PAYTM.BO
1288.6500244140625,1288.699951171875,1250.0,1253.9000244140625,1253.9000244140625,229440,PAYTM.BO
1264.8499755859375,1265.0,1230.0,1231.9000244140625,1231.9000244140625,104675,PAYTM.BO
1226.0,1230.0,1151.0,1157.9000244140625,1157.9000244140625,614250,PAYTM.BO
1165.0,1214.699951171875,1113.5,1119.5,1119.5,338343,PAYTM.BO
1119.5,1133.1500244140625,1075.0,1083.4000244140625,1083.4000244140625,313824,PAYTM.BO
1082.050048828125,1087.5999755859375,1025.550048828125,1031.4000244140625,1031.4000244140625,572943,PAYTM.BO
1021.5499877929688,1127.5,995.0,1118.3499755859375,1118.3499755859375,939619,PAYTM.BO
1125.0999755859375,1147.4000244140625,1094.0,1105.0,1105.0,284777,PAYTM.BO
1105.0,1118.050048828125,1030.0,1042.5,1042.5,212368,PAYTM.BO
1045.0999755859375,1050.550048828125,990.0,997.3499755859375,997.3499755859375,618038,PAYTM.BO
1010.0,1035.800048828125,990.25,994.8499755859375,994.8499755859375,448719,PAYTM.BO
995.0,999.0,952.9500122070312,959.9000244140625,959.9000244140625,225331,PAYTM.BO
962.9500122070312,962.9500122070312,881.5,917.3499755859375,917.3499755859375,435841,PAYTM.BO
905.0,938.25,875.5,915.7000122070312,915.7000122070312,360194,PAYTM.BO
897.2999877929688,912.25,880.0,893.3499755859375,893.3499755859375,304526,PAYTM.BO
904.0,923.9000244140625,900.0,903.25,903.25,128311,PAYTM.BO
921.3499755859375,931.9500122070312,911.1500244140625,917.0499877929688,917.0499877929688,198591,PAYTM.BO
925.0,976.0,921.0499877929688,965.5999755859375,965.5999755859375,561333,PAYTM.BO
974.9000244140625,994.0,950.5999755859375,957.2999877929688,957.2999877929688,131479,PAYTM.BO
959.0,960.0,940.0999755859375,944.6500244140625,944.6500244140625,139904,PAYTM.BO
952.9000244140625,961.9500122070312,945.9000244140625,953.25,953.25,166807,PAYTM.BO
940.0,984.9000244140625,898.9500122070312,957.4000244140625,957.4000244140625,256832,PAYTM.BO
963.0499877929688,978.6500244140625,932.0,937.75,937.75,99100,PAYTM.BO
948.0,954.7999877929688,937.0,940.9000244140625,940.9000244140625,62329,PAYTM.BO
969.0,969.0,936.0,938.3499755859375,938.3499755859375,61515,PAYTM.BO
